1602182834
Date,Generic (AI_1),FlowMeter Rate (AI_2),FlowMeter Total (AI_2)
,PH,Flow,Flow
,pH,gal/min,gal
01/15/2024 07:03:48,     8.89,         1.92,  14976314.00,
01/15/2024 07:08:48,     8.70,         4.80,  14976314.00,
01/15/2024 07:13:48,     8.76,         6.72,  14976314.00,
01/15/2024 07:18:48,     8.84,         1.92,  14976314.00,
01/15/2024 07:23:48,     8.80,        11.53,  14976314.00,
01/15/2024 07:28:48,     8.95,        16.33,  14976314.00,
01/15/2024 07:33:48,     8.74,        11.53,  14976314.00,
01/15/2024 07:38:48,     8.78,         7.69,  14976314.00,
01/15/2024 07:43:48,     8.84,         4.80,  14976314.00,
01/15/2024 07:48:48,     8.74,         2.88,  14976314.00,
01/15/2024 07:53:48,     8.84,         2.88,  14976314.00,
01/15/2024 07:58:48,     8.78,         4.80,  14976314.00,
01/15/2024 08:03:48,     8.80,         4.80,  14976314.00,
01/15/2024 08:08:48,     8.74,         8.65,  14976314.00,
01/15/2024 08:13:48,     8.84,         3.84,  14976314.00,
01/15/2024 08:18:48,     8.82,         5.76,  14976314.00,
01/15/2024 08:23:48,     8.72,         3.84,  14976314.00,
01/15/2024 08:28:48,     8.97,        29.78,  14976338.00,
01/15/2024 08:33:48,     8.97,        18.25,  14976338.00,
01/15/2024 08:38:48,     8.95,        43.23,  14976339.00,
01/15/2024 08:43:48,     9.07,        28.82,  14976339.00,
01/15/2024 08:48:48,     9.09,         5.76,  14976339.00,
01/15/2024 08:53:48,     8.99,        13.45,  14976339.00,
01/15/2024 08:58:48,     8.91,        19.21,  14976339.00,
01/15/2024 09:03:48,     8.82,        24.02,  14976339.00,
01/15/2024 09:08:48,     8.70,         7.69,  14976339.00,
01/15/2024 09:13:48,     8.82,         2.88,  14976339.00,
01/15/2024 09:18:48,     8.76,         6.72,  14976339.00,
01/15/2024 09:23:48,     8.40,         4.80,  14976339.00,
01/15/2024 09:28:48,     8.76,         7.69,  14976339.00,
01/15/2024 09:33:48,     8.93,        11.53,  14976339.00,
01/15/2024 09:38:48,     8.95,        37.47,  14976339.00,
01/15/2024 09:43:48,     8.91,         5.76,  14976339.00,
01/15/2024 09:48:48,     8.97,        32.66,  14976339.00,
01/15/2024 09:53:48,     8.86,        29.78,  14976516.00,
01/15/2024 09:58:48,     8.86,         7.69,  14976516.00,
01/15/2024 10:03:48,     8.99,        28.82,  14976516.00,
01/15/2024 10:08:48,     8.48,        27.86,  14976516.00,
01/15/2024 10:13:48,     8.89,        16.33,  14976516.00,
01/15/2024 10:18:48,     8.76,         5.76,  14976516.00,
01/15/2024 10:23:48,     8.89,        20.17,  14976516.00,
01/15/2024 10:28:48,     8.84,         5.76,  14976516.00,
01/15/2024 10:33:48,     8.80,         7.69,  14976516.00,
01/15/2024 10:38:48,     8.82,        10.57,  14976516.00,
01/15/2024 10:43:48,     9.07,        30.74,  14976604.00,
01/15/2024 10:48:48,     8.82,        26.90,  14976776.00,
01/15/2024 10:53:48,     8.62,        50.92,  14976785.00,
01/15/2024 10:58:48,     8.86,         6.72,  14976950.00,
01/15/2024 11:03:48,     9.05,        19.21,  14977037.00,
01/15/2024 11:08:48,     8.93,         7.69,  14977037.00,
01/15/2024 11:13:48,     8.80,         6.72,  14977037.00,
01/15/2024 11:18:48,     8.70,         4.80,  14977037.00,
01/15/2024 11:23:48,     8.86,         4.80,  14977037.00,
01/15/2024 11:28:48,     8.78,         7.69,  14977037.00,
01/15/2024 11:33:48,     8.72,         9.61,  14977037.00,
01/15/2024 11:38:48,     8.82,        11.53,  14977037.00,
01/15/2024 11:43:49,     8.82,        12.49,  14977037.00,
01/15/2024 11:48:49,     8.64,         1.92,  14977037.00,
01/15/2024 11:53:49,     8.78,         3.84,  14977037.00,
01/15/2024 11:58:49,     8.76,        13.45,  14977037.00,
01/15/2024 12:03:49,     8.82,        11.53,  14977037.00,
01/15/2024 12:08:49,     8.74,         3.84,  14977037.00,
01/15/2024 12:13:49,     8.76,         0.96,  14977037.00,
01/15/2024 12:18:49,     8.76,         1.92,  14977037.00,
01/15/2024 12:23:49,     8.91,        13.45,  14977037.00,
01/15/2024 12:28:49,     8.62,         2.88,  14977037.00,
01/15/2024 12:33:49,     8.70,        10.57,  14977037.00,
01/15/2024 12:38:49,     8.56,         2.88,  14977037.00,
01/15/2024 12:43:49,     8.70,        11.53,  14977037.00,
01/15/2024 12:48:49,     8.80,         4.80,  14977037.00,
01/15/2024 12:53:49,     8.82,         2.88,  14977037.00,
01/15/2024 12:58:49,     8.93,         8.65,  14977037.00,
01/15/2024 13:03:49,     8.99,         9.61,  14977037.00,
01/15/2024 13:08:49,     8.68,        10.57,  14977037.00,
01/15/2024 13:13:49,     8.82,        10.57,  14977037.00,
01/15/2024 13:18:49,     8.80,         2.88,  14977037.00,
01/15/2024 13:23:49,     8.76,         3.84,  14977037.00,
01/15/2024 13:28:49,     8.84,         1.92,  14977037.00,
01/15/2024 13:33:49,     8.68,         5.76,  14977037.00,
01/15/2024 13:38:49,     8.89,         0.96,  14977037.00,
01/15/2024 13:43:49,     8.64,        15.37,  14977037.00,
01/15/2024 13:48:49,     8.76,         1.92,  14977037.00,
01/15/2024 13:53:49,     8.84,         2.88,  14977037.00,
01/15/2024 13:58:49,     8.76,        16.33,  14977037.00,
01/15/2024 14:03:49,     8.74,         2.88,  14977037.00,
01/15/2024 14:08:49,     8.74,         2.88,  14977037.00,
01/15/2024 14:13:49,     8.78,         5.76,  14977037.00,
01/15/2024 14:18:49,     8.91,        13.45,  14977037.00,
01/15/2024 14:23:49,     8.82,        29.78,  14977037.00,
01/15/2024 14:28:49,     8.93,        15.37,  14977037.00,
01/15/2024 14:33:49,     8.89,        27.86,  14977037.00,
01/15/2024 14:38:49,     8.99,        25.94,  14977037.00,
01/15/2024 14:43:49,     8.93,         2.88,  14977037.00,
01/15/2024 14:48:49,     8.95,        14.41,  14977037.00,
01/15/2024 14:53:49,     8.95,        38.43,  14977037.00,
01/15/2024 14:58:49,     8.95,         7.69,  14977037.00,
01/15/2024 15:03:49,     8.74,        20.17,  14977037.00,
01/15/2024 15:08:49,     8.91,         5.76,  14977037.00,
01/15/2024 15:13:49,     8.93,         3.84,  14977037.00,
01/15/2024 15:18:49,     8.91,         7.69,  14977037.00,
01/15/2024 15:23:49,     9.01,         3.84,  14977037.00,
01/15/2024 15:28:49,     8.82,         5.76,  14977037.00,
01/15/2024 15:33:49,     8.80,        14.41,  14977037.00,
01/15/2024 15:38:49,     9.03,         8.65,  14977037.00,
01/15/2024 15:43:49,     8.95,        18.25,  14977037.00,
01/15/2024 15:48:49,     8.93,        49.96,  14977037.00,
01/15/2024 15:53:49,     9.01,        38.43,  14977039.00,
01/15/2024 15:58:49,     8.97,        27.86,  14977039.00,
01/15/2024 16:03:49,     8.93,        34.59,  14977039.00,
01/15/2024 16:08:49,     9.01,        39.39,  14977039.00,
01/15/2024 16:13:49,     9.01,         9.61,  14977039.00,
01/15/2024 16:18:49,     8.93,        15.37,  14977039.00,
01/15/2024 16:23:49,     8.42,        13.45,  14977039.00,
01/15/2024 16:28:49,     8.84,        19.21,  14977039.00,
01/15/2024 16:33:49,     8.86,        15.37,  14977039.00,
01/15/2024 16:38:49,     9.05,        14.41,  14977039.00,
01/15/2024 16:43:49,     8.84,         3.84,  14977039.00,
01/15/2024 16:48:49,     8.78,        10.57,  14977039.00,
01/15/2024 16:53:49,     8.74,        15.37,  14977039.00,
01/15/2024 16:58:49,     8.89,        10.57,  14977039.00,
01/15/2024 17:03:49,     8.76,         0.96,  14977039.00,
01/15/2024 17:08:49,     8.91,         5.76,  14977039.00,
01/15/2024 17:13:49,     8.89,         4.80,  14977039.00,
01/15/2024 17:18:49,     8.78,         6.72,  14977039.00,
01/15/2024 17:23:49,     8.78,         5.76,  14977039.00,
01/15/2024 17:28:49,     8.64,         4.80,  14977039.00,
01/15/2024 17:33:49,     8.70,         9.61,  14977039.00,
01/15/2024 17:38:49,     8.80,        10.57,  14977039.00,
01/15/2024 17:43:49,     8.76,         3.84,  14977039.00,
01/15/2024 17:48:49,     8.80,         3.84,  14977039.00,
01/15/2024 17:53:49,     8.66,         5.76,  14977039.00,
01/15/2024 17:58:49,     8.68,        11.53,  14977039.00,
01/15/2024 18:03:49,     8.64,         4.80,  14977039.00,
01/15/2024 18:08:49,     8.33,        13.45,  14977039.00,
01/15/2024 18:13:49,     8.62,        10.57,  14977039.00,
